"age" "scar" "status" "n"
"1" "0-4" 1 "case" 1
"2" "5-9" 1 "case" 14
"3" "10-14" 1 "case" 22
"4" "15-19" 1 "case" 28
"5" "20-24" 1 "case" 19
"6" "25-29" 1 "case" 11
"7" "30-34" 1 "case" 6
"8" "0-4" 0 "case" 1
"9" "5-9" 0 "case" 11
"10" "10-14" 0 "case" 28
"11" "15-19" 0 "case" 16
"12" "20-24" 0 "case" 20
"13" "25-29" 0 "case" 36
"14" "30-34" 0 "case" 47
"15" "0-4" 1 "conall" 11719
"16" "5-9" 1 "conall" 10184
"17" "10-14" 1 "conall" 7561
"18" "15-19" 1 "conall" 8117
"19" "20-24" 1 "conall" 5588
"20" "25-29" 1 "conall" 1625
"21" "30-34" 1 "conall" 1234
"22" "0-4" 0 "conall" 7593
"23" "5-9" 0 "conall" 7143
"24" "10-14" 0 "conall" 5611
"25" "15-19" 0 "conall" 2208
"26" "20-24" 0 "conall" 2438
"27" "25-29" 0 "conall" 4356
"28" "30-34" 0 "conall" 5245
"29" "0-4" 1 "con1000" 137
"30" "5-9" 1 "con1000" 115
"31" "10-14" 1 "con1000" 101
"32" "15-19" 1 "con1000" 87
"33" "20-24" 1 "con1000" 69
"34" "25-29" 1 "con1000" 21
"35" "30-34" 1 "con1000" 24
"36" "0-4" 0 "con1000" 101
"37" "5-9" 0 "con1000" 91
"38" "10-14" 0 "con1000" 82
"39" "15-19" 0 "con1000" 28
"40" "20-24" 0 "con1000" 25
"41" "25-29" 0 "con1000" 63
"42" "30-34" 0 "con1000" 56
"43" "0-4" 1 "conmatch" 5
"44" "5-9" 1 "conmatch" 52
"45" "10-14" 1 "conmatch" 133
"46" "15-19" 1 "conmatch" 130
"47" "20-24" 1 "conmatch" 106
"48" "25-29" 1 "conmatch" 62
"49" "30-34" 1 "conmatch" 38
"50" "0-4" 0 "conmatch" 3
"51" "5-9" 0 "conmatch" 48
"52" "10-14" 0 "conmatch" 67
"53" "15-19" 0 "conmatch" 46
"54" "20-24" 0 "conmatch" 50
"55" "25-29" 0 "conmatch" 126
"56" "30-34" 0 "conmatch" 174
